id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24427640,Bonita y tranquila recámara privada en Coyoacán,81739829,Maria Ingenia,,Coyoacán,19.33643,-99.14925,Private room,400,1,0,,,1,88,0,
24432514,Apartamento compartido en Buenavista,182581663,José Luis,,Cuauhtémoc,19.44777,-99.14963,Private room,370,1,1,2019-10-30,0.04,2,89,0,
24433445,Great room at Condesa neighborhood,171894446,Alejandra,,Cuauhtémoc,19.41743,-99.17741,Private room,312,3,20,2021-12-13,0.47,16,337,6,
24450990,Habitaciones Roma 2,99246580,Luis,,Cuauhtémoc,19.41075,-99.16625,Private room,450,1,13,2020-09-20,0.30,3,83,0,
24451917,"Ciudad de Mexico, perfectly located",153775083,Michael,,Miguel Hidalgo,19.40229,-99.1772,Private room,300,2,1,2018-04-26,0.02,1,363,0,
24453871,Hermoso y tranquilo  cuarto Privado en un lindo y muy bien ubicado lugar,178526132,Marlen,,Coyoacán,19.30848,-99.16634,Private room,250,1,1,2019-09-11,0.04,1,362,0,
24454262,SantAna’s Place,53529492,Santa,,Álvaro Obregón,19.36558,-99.19134,Private room,500,2,2,2018-11-19,0.05,1,88,0,
24454963,"Terraza amplia,  Privada, Parque Hundido",75233639,Iliana,,Benito Juárez,19.37984,-99.18504,Entire home/apt,400,60,12,2021-02-10,0.27,1,365,1,
24455896,Nice Room nearby Santa Fe & parking spot,103603863,Armando,,Cuajimalpa de Morelos,19.36355,-99.29811,Private room,825,2,1,2018-10-01,0.03,1,364,0,
24463916,"Loft 101 Buen precio,ubicación,cómodo, CDMX",157291355,Ana,,Cuauhtémoc,19.44041,-99.15395,Private room,449,1,222,2021-08-16,5.00,2,330,61,
24467160,Casa Sacramento habitación 2,73543352,Pablo,,Benito Juárez,19.38439,-99.17231,Private room,500,1,0,,,1,0,0,
24478371,"Roma sur, cerca de todo",119459471,Fernando,,Cuauhtémoc,19.40215,-99.1636,Shared room,375,2,2,2018-10-27,0.05,1,51,0,
24489058,Apartment a block away from the US Embassy,68151741,Venus,,Cuauhtémoc,19.42602,-99.16573,Entire home/apt,1032,2,191,2021-12-15,4.29,4,119,47,
24492264,Frente a alberca,185013229,Isaura,,Cuajimalpa de Morelos,19.32871,-99.29242,Entire home/apt,1357,1,0,,,1,269,0,
24494416,WOW! Style and comfort in the heart of the city,6652705,Richard,,Cuauhtémoc,19.42571,-99.15439,Entire home/apt,1514,2,123,2021-12-24,2.76,3,49,33,
24494873,2 bedroom apartment in the heart of Polanco area,64224416,Israel,,Miguel Hidalgo,19.42942,-99.19295,Entire home/apt,6497,1,1,2021-11-08,0.63,2,364,1,
24497038,Increíble Loft en el corazón de la Roma Norte,82350883,María,,Cuauhtémoc,19.41972,-99.17649,Entire home/apt,570,30,111,2021-10-01,2.54,1,4,1,
24499102,Lovely 3bedroom furnished apartment,42325343,Erika,,Coyoacán,19.30661,-99.139,Entire home/apt,1500,7,21,2021-11-12,0.48,1,352,6,
24499878,Departamento Alfonso Reyes,30797043,Natali,,Cuauhtémoc,19.40884,-99.17528,Entire home/apt,1441,3,62,2021-12-13,1.40,1,171,18,
24502159,Room with large room and kitchen.,92897635,Guillermo,,Benito Juárez,19.39033,-99.16739,Private room,325,3,0,,,2,0,0,
24512566,"Bonito Depto, Garibaldi Cdmx sobre av Reforma",174796471,Jonathan,,Cuauhtémoc,19.4444,-99.14131,Private room,600,1,14,2021-11-22,0.75,1,178,2,
24520013,"Excelente departamento , a 5 min de Bellas Artes",124616403,Patt,,Cuauhtémoc,19.44195,-99.14202,Private room,450,1,0,,,1,358,0,
24522046,"Beautiful, warm & lovely apartment in la Del Valle",95869635,Ben,,Benito Juárez,19.37659,-99.17125,Entire home/apt,584,2,37,2020-12-30,0.83,3,173,1,
24526138,"Charming 2BR Apt Near ""Expo BBVA"" @CapitaliaLiving",27449159,Capitalia,,Cuajimalpa de Morelos,19.36251,-99.28485,Entire home/apt,1884,2,12,2020-09-22,0.35,24,111,0,
24526283,nice apartment with excellent location Del Valle.,102083589,Edel,,Benito Juárez,19.37555,-99.16085,Entire home/apt,1545,2,46,2021-05-28,1.10,3,352,1,
24526329,"Deluxe 2BR Apt Near ""La Mexicana"" Park",27449159,Capitalia,,Cuajimalpa de Morelos,19.36251,-99.28485,Entire home/apt,1884,2,15,2021-11-26,0.34,24,120,2,
24539715,La Casa de la Palmera,85279844,Jessica,,Benito Juárez,19.38981,-99.15431,Private room,390,2,14,2019-11-18,0.31,1,180,0,
24540559,Cuarto para profesionista independiente,76924488,Victor,,Tlalpan,19.26262,-99.17713,Shared room,350,3,0,,,2,365,0,
24540582,"Privilegio y privacidad: Chimalistac, Cd de México",95496222,Roberto Diego,,Coyoacán,19.34287,-99.18163,Entire home/apt,800,7,21,2021-12-05,0.50,1,171,2,
